clean_message,label_encoded
told dr appt next week think gon na die told check nothing worried listen,0
important customer service announcement call freephone,1
hey going quit soon xuhui working till end month,0
hungry buy food good lei mum yun dun wan juz buy little bit,0
ok tell stay yeah tough optimistic thing improve month,0
reason spoken year anyways great week best exam,0
pathaya enketa maraikara pa,0
enjoy shower possessiveness poured ur loved one bcoz world lie golden gift loved truly,0
well great weekend,0
aiyah ok wat long got improve already wat,0
surfing online store offer want buy thing,0
home doc gave pain med say everything fine,0
smith waste da wan na gayle,0
ok ya,0
nite,0
well like actually called someone punto woulda worse,0
take small dose tablet fever,0
nt goin got somethin unless meetin dinner lor haha wonder go ti time,0
send text skype later,0
lt gt fast approaching wish happy new year happy sankranti happy republic day happy valentine day happy shivratri happy ugadi happy fool day happy may day happy independence day happy friendship mother father teacher childrens day amp happy birthday happy ganesh festival happy dasara happy diwali happy christmas lt gt good morning afternoon evening night rememberi first wishing raj,0
xmas story peace xmas msg love xmas miracle jesus hav blessed month ahead amp wish merry xmas,0
yes glad made,0
ok take ur time enjoy ur dinner,0
da intro cover energy trend pro con brief description nuclear fusion oso brief history iter jet got abt half page,0
gettin bit arty collage mo well tryin ne way got roast min lovely shall enjoy,0
sorry missed babe late slept hope enjoy driving lesson boytoy miss teasing kiss,0
talk others probably come early tomorrow,0
big brother really scraped barrel shower social misfit,0
cant come search job,0
thing change sentence want concentrate educational career im leaving,0
talking thats de wont,0
haha kidding papa need drug,0
sir send group mail check,0
find sitter kaitlyn sick slept day yesterday,0
really tot ur paper ended long ago wat copied jus got use happy lar still haf study,0
spending new year brother family let plan meet next week ready spoiled,0
guessin gon na,0
lmao fish memory need,0
hi msg office,0
faith make thing possible hope make thing work love make thing beautiful may three christmas merry christmas,0
nvm going wear sport shoe anyway going late leh,0
hi asked waheeda fathima leave,0
day say cut ur hair paragon called hair sense noe much hair cut,0
jus came back fr lunch wif si leh,0
nice sheffield tom air opinion category used measure ethnicity next census busy transcribing,0
got xmas radio time get,0
sac need carry,0
dont think turn like randomlly within min opening,0
also fuck family going rhode island wherever fuck leaving alone week new bong gt,0
eh remember spell name yes naughty make wet,0
today voda number ending selected receive award hava match please call quoting claim code standard rate app,1
raviyog peripheral bhayandar east,0
bishan lei tot say lavender,0
check nuerologist,0
moby pub quiz win money high street prize know new duchess cornwall txt first name unsub stop money sp arrow,1
jus hope true missin co really missin done anything feel guilty yet,0
need th campus atm could pick hour two,0
remind hr,0
gon na get deus ex,0
princess like make love lt gt time per night hope thats problem,0
sex ur mobile free sexy pic jordan text babe every wk get sexy celeb pocketbabe co uk pic money wk,1
ill soon,0
sorry call later meeting,0
fantasy football back tv go sky gamestar sky active play money dream team scoring start saturday register sky opt,1
trip ok quite tiring lor uni start today ok co taking module jus concentrating final yr project,0
hi darlin ive got back really nice night thanks much lift see tomorrow xxx,0
aah cuddle would lush need lot tea soup kind fumbling,0
going film day da pm sorry da,0
cashbin co uk get lot cash weekend url dear welcome weekend got biggest best ever cash give away,1
sense foot penis,0
ur lecture,0
something ate,0
please send aunty number,0
yes fine,0
uncle abbey happy new year abiola,0
dear ok,0
yo im right yo work,0
many thing antibiotic used chest abdomen gynae infection even bone infection,0
said text one time,0
unique enough find th august url,1
great diddy neighbor come toothpaste every morning,0
alright omw got ta change order half th,0
winner specially selected receive money cash holiday flight inc speak live operator claim,1
come,0
lunch alone bored,0
room number wan na make sure knocking right door,0
msg jus said thanks gift,0
getting worried derek taylor already assumed worst,0
dear cherthala case coming cochin pls call bfore start shall also reach accordingly tell day coming tmorow engaged an holiday,0
drop tank,0
put sign choose number pin show right,0
dear shall mail tonite busy street shall update tonite thing looking ok varunnathu edukkukayee raksha ollu good one real sense,0
nosy guess idk reacting freaked,0
sorry brah finished last exam,0
life nothing wen get everything life everything wen miss something real value people wil realized absence gud mrng,0
need stop going bed make fucking dealing,0
happy new year dear brother really miss got number decided send text wishing happiness abiola,0
thk wat eat tonight,0
probably earlier station think,0
ahhhh woken bad dream tho dont like right didnt know anything comedy night guess im,0
love want flood pretty pussy cum,0
free text message valid december,1
ok thats cool either raglan rd edward rd behind cricket ground gim ring ur closeby see tuesday,0
fair enough anything going,0
outbid simonwatson shinco dvd plyr bid visit sm ac smsrewards end bid notification reply end,1
promise though even gotten dinner yet,0
hmv bonus special pound genuine hmv voucher answer easy question play send hmv info url,1
open rebtel firefox load put plus sign user name place show two number lower number number pick number pin display okay,0
yo guess dropped,0
wud never mind dont miss dont need wil really hurt wen need amp dont tell take care,0
send resume,0
sorry dude dont know forgot even dan reminded sorry hope guy fun,0
rt king pro video club need help email call must club credit redeemable url enjoy,1
moji love word rich day,0
oh outside player allowed play know,0
sam eachother meet go house,0
another month need chocolate weed alcohol,0
someone know asked dating service contact cant guess call revealed po box wu,1
oh gei happend tron maybe ill dl,0
hmmm thought said hour slave late punish,0
anything lor,0
ok gentleman treat dignity respect,0
received understood acted upon,0
oh kay sat right,0
feel like dick keep sleeping text facebook message sup town,0
pls wont belive god jesus,0
great new offer double min double txt best orange tariff get latest camera phone free call mobileupd free stoptxt c,1
abeg make profit start using get sponsor next event,0
daddy shu shu looking wan tell singapore wat,0
oops shower called hey parking garage collapsed university hospital see crazy stuff like happen,0
sorry call later,0
ryder unsold gibbs,0
know grumpy old people mom like better lying always one play joke,0
dad get back,0
