label,message,character_count,word_count,sentence_count,original_message,clean_message,clean_char_length,clean_word_count,gru_message,label_encoded
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",111,24,2,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go jurong point crazy available bugis great world la buffet cine got amore wat,78,14,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,0
ham,Ok lar... Joking wif u oni...,29,8,2,Ok lar... Joking wif u oni...,ok lar joking wif oni,21,5,ok lar joking wif u oni,0
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,155,37,2,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry wkly comp win fa cup final tkts st may text fa receive entry question std txt rate apply,99,20,free entry in a wkly comp to win fa cup final tkts st may text fa to to receive entry question std txt rate t c s apply over s,1
ham,U dun say so early hor... U c already then say...,49,13,1,U dun say so early hor... U c already then say...,dun say early hor already say,29,6,u dun say so early hor u c already then say,0
ham,"Nah I don't think he goes to usf, he lives around here though",61,15,1,"Nah I don't think he goes to usf, he lives around here though",nah think go usf life around though,35,7,nah i don t think he goes to usf he lives around here though,0
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",147,39,4,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",freemsg hey darling week word back like fun still tb ok xxx std chgs send money rcv,83,17,freemsg hey there darling it s been week s now and no word back i d like some fun you up for it still tb ok xxx std chgs to send money to rcv,1
ham,Even my brother is not like to speak with me. They treat me like aids patent.,77,18,2,Even my brother is not like to speak with me. They treat me like aids patent.,even brother like speak treat like aid patent,45,8,even my brother is not like to speak with me they treat me like aids patent,0
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,31,2,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune,109,15,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune,0
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,157,32,5,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner valued network customer selected receivea money prize reward claim call claim code kl valid hour,103,16,winner as a valued network customer you have been selected to receivea money prize reward to claim call claim code kl valid hours only,1
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,154,31,3,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,mobile month entitled update latest colour mobile camera free call mobile update co free,88,14,had your mobile months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on,1
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",109,28,2,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",gon na home soon want talk stuff anymore tonight cried enough today,67,12,i m gonna be home soon and i don t want to talk about this stuff anymore tonight k i ve cried enough today,0
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136,31,3,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chance win cash pound txt csh send cost day day tsandcs apply reply hl info,79,16,six chances to win cash from to pounds txt csh and send to cost p day days tsandcs apply reply hl info,1
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",155,32,3,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent week free membership money prize jackpot txt word claim url lccltd pobox ldnw rw,87,15,urgent you have won a week free membership in our money prize jackpot txt the word claim to no t c url lccltd pobox ldnw a rw,1
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,196,41,3,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time,105,15,i ve been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,0
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,35,10,2,I HAVE A DATE ON SUNDAY WITH WILL!!,date sunday,11,2,i have a date on sunday with will,0
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,28,2,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub use credit click wap link next txt message click url xxxmobilemovieclub com qjkgighjjgcbl,108,14,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here url xxxmobilemovieclub com n qjkgighjjgcbl,1
ham,Oh k...i'm watching here:),26,9,1,Oh k...i'm watching here:),oh watching,11,2,oh k i m watching here,0
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,81,22,3,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh remember spell name yes naughty make wet,43,8,eh u remember how spell his name yes i did he v naughty make until i v wet,0
ham,Fine if thats the way u feel. Thats the way its gota b,56,14,2,Fine if thats the way u feel. Thats the way its gota b,fine way feel way gota,22,5,fine if that s the way u feel that s the way its gota b,0
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",155,28,2,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",england macedonia dont miss goal team news txt ur national team eg england try wale scotland txt poboxox wq,107,19,england v macedonia dont miss the goals team news txt ur national team to eg england to try wales scotland txt poboxox w wq,1
ham,Is that seriously how you spell his name?,41,9,1,Is that seriously how you spell his name?,seriously spell name,20,3,is that seriously how you spell his name,0
ham,I‘m going to try for 2 months ha ha only joking,47,13,1,I‘m going to try for 2 months ha ha only joking,going try month ha ha joking,28,6,i m going to try for months ha ha only joking,0
ham,So ü pay first lar... Then when is da stock comin...,52,13,1,So ü pay first lar... Then when is da stock comin...,pay first lar da stock comin,28,6,so pay first lar then when is da stock comin,0
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,88,23,3,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft finish lunch go str lor ard smth lor finish ur lunch already,64,13,aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already,0
ham,Ffffffffff. Alright no way I can meet up with you sooner?,57,13,2,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright way meet sooner,34,5,ffffffffff alright no way i can meet up with you sooner,0
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,144,35,6,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,forced eat slice really hungry tho suck mark getting worried know sick turn pizza lol,85,15,just forced myself to eat a slice i m really not hungry tho this sucks mark is getting worried he knows i m sick when i turn down pizza lol,0
ham,Lol your always so convincing.,30,6,1,Lol your always so convincing.,lol always convincing,21,3,lol your always so convincing,0
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,134,34,5,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,catch bus frying egg make tea eating mom left dinner feel love,62,12,did you catch the bus are you frying an egg did you make a tea are you eating your mom s left over dinner do you feel my love,0
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",75,22,1,"I'm back &amp; we're packing the car now, I'll let you know if there's room",back amp packing car let know room,34,7,i m back amp we re packing the car now i ll let you know if there s room,0
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,64,16,5,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work vaguely remember feel like lol,40,7,ahhh work i vaguely remember that what does it feel like lol,0
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",130,30,1,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait still clear sure sarcastic want live u,43,8,wait that s still not all that clear were you not sure about me being sarcastic or that that s why x doesn t want to live with us,0
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,189,48,6,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah got apologetic fallen actin like spoilt child got caught till go badly cheer,81,14,yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till but we won t go there not doing too badly cheers you,0
ham,K tell me anything about you.,29,7,1,K tell me anything about you.,tell anything,13,2,k tell me anything about you,0
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,84,18,2,For fear of fainting with the of all that housework you just did? Quick have a cuppa,fear fainting housework quick cuppa,35,5,for fear of fainting with the of all that housework you just did quick have a cuppa,0
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,158,30,2,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks subscription ringtone uk mobile charged money month please confirm replying yes reply charged,100,14,thanks for your subscription to ringtone uk your mobile will be charged money month please confirm by replying yes or no if you reply no you will not be charged,1
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,122,30,1,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok go home look timing msg xuhui going learn nd may lesson,62,13,yup ok i go home look at the timings then i msg again xuhui going to learn on nd may too but her lesson is at am,0
ham,"Oops, I'll let you know when my roommate's done",47,12,1,"Oops, I'll let you know when my roommate's done",oops let know roommate done,27,5,oops i ll let you know when my roommate s done,0
ham,I see the letter B on my car,28,8,1,I see the letter B on my car,see letter car,14,3,i see the letter b on my car,0
ham,Anything lor... U decide...,27,6,1,Anything lor... U decide...,anything lor decide,19,3,anything lor u decide,0
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,155,37,4,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello saturday go texting see decided anything tomo trying invite anything,74,11,hello how s you and how did saturday go i was just texting to see if you d decided to do anything tomo not that i m trying to invite myself or anything,0
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,82,20,4,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead watt wanted sure great weekend abiola,50,9,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,0
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",142,35,4,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",forget tell want need crave love sweet arabian steed mmmmmm yummy,65,11,did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,0
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,172,34,2,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,rodger burn msg tried call reply sm free nokia mobile free camcorder please call delivery tomorrow,98,16,rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now for delivery tomorrow,1
ham,WHO ARE YOU SEEING?,19,5,1,WHO ARE YOU SEEING?,seeing,6,1,who are you seeing,0
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,72,22,3,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great hope like man well endowed lt gt inch,43,9,great i hope you like your man well endowed i am lt gt inches,0
ham,No calls..messages..missed calls,32,7,1,No calls..messages..missed calls,call message missed call,24,4,no calls messages missed calls,0
ham,Didn't you get hep b immunisation in nigeria.,45,10,1,Didn't you get hep b immunisation in nigeria.,get hep immunisation nigeria,28,4,didn t you get hep b immunisation in nigeria,0
ham,"Fair enough, anything going on?",31,7,1,"Fair enough, anything going on?",fair enough anything going,26,4,fair enough anything going on,0
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",67,16,1,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopefully tyler could maybe ask around bit,47,8,yeah hopefully if tyler can t do it i could maybe ask around a bit,0
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,148,37,4,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,know stubborn even want go hospital kept telling mark weak sucker hospital weak sucker,86,14,u don t know how stubborn i am i didn t even want to go to the hospital i kept telling mark i m not a weak sucker hospitals are for weak suckers,0
ham,What you thinked about me. First time you saw me in class.,58,14,2,What you thinked about me. First time you saw me in class.,thinked first time saw class,28,5,what you thinked about me first time you saw me in class,0
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",124,35,1,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",gram usually run like lt gt half eighth smarter though get almost whole second gram lt gt,89,17,a gram usually runs like lt gt a half eighth is smarter though and gets you almost a whole second gram for lt gt,0
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,80,17,1,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,fyi ride early tomorrow morning crashing place tonight,54,8,k fyi x has a ride early tomorrow morning but he s crashing at our place tonight,0
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",289,69,6,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing,147,21,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave i m sorry i didn t and don t have more to give i m sorry i offered i m sorry your room was so embarassing,0
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,120,27,5,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv,97,18,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,1
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,76,20,2,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,know mallika sherawat yesterday find lt url gt,46,8,do you know what mallika sherawat did yesterday find out now lt url gt,0
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",161,37,7,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congrats year special cinema pas call suprman matrix starwars etc free bx ip pm dont miss,89,16,congrats year special cinema pass for is yours call now c suprman v matrix starwars etc all free bx ip we pm dont miss out,1
ham,"Sorry, I'll call later in meeting.",34,9,1,"Sorry, I'll call later in meeting.",sorry call later meeting,24,4,sorry i ll call later in meeting,0
ham,Tell where you reached,22,4,1,Tell where you reached,tell reached,12,2,tell where you reached,0
ham,Yes..gauti and sehwag out of odi series.,40,10,1,Yes..gauti and sehwag out of odi series.,yes gauti sehwag odi series,27,5,yes gauti and sehwag out of odi series,0
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,108,29,3,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,gon na pick money burger way home even move pain killing,56,11,your gonna have to pick up a money burger for yourself on your way home i can t even move pain is killing me,0
ham,Ha ha ha good joke. Girls are situation seekers.,48,11,2,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke girl situation seeker,40,8,ha ha ha good joke girls are situation seekers,0
ham,Its a part of checking IQ,25,6,1,Its a part of checking IQ,part checking iq,16,3,its a part of checking iq,0
ham,"Sorry my roommates took forever, it ok if I come by now?",56,14,1,"Sorry my roommates took forever, it ok if I come by now?",sorry roommate took forever ok come,35,6,sorry my roommates took forever it ok if i come by now,0
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,110,26,2,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar double check wif da hair dresser already said wun cut short said cut look nice,85,17,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,0
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",152,31,2,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",valued customer pleased advise following recent review mob awarded money bonus prize call,89,13,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a money bonus prize call,1
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",122,28,2,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",today song dedicated day song dedicate send ur valuable frnds first rply,72,12,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,0
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",159,34,3,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent ur awarded complimentary trip eurodisinc trav aco entry money claim txt dis money morefrmmob shracomorsglsuplt l aj,122,18,urgent ur awarded a complimentary trip to eurodisinc trav aco entry or money to claim txt dis to money morefrmmob shracomorsglsuplt ls aj,1
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",78,20,2,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",hear new divorce barbie come ken stuff,38,7,did you hear about the new divorce barbie it comes with all of ken s stuff,1
ham,I plane to give on this month end.,34,9,1,I plane to give on this month end.,plane give month end,20,4,i plane to give on this month end,0
ham,Wah lucky man... Then can save money... Hee...,46,11,1,Wah lucky man... Then can save money... Hee...,wah lucky man save money hee,28,6,wah lucky man then can save money hee,0
ham,Finished class where are you.,29,6,1,Finished class where are you.,finished class,14,2,finished class where are you,0
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,45,12,2,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe im home wan na something xx,35,8,hi babe im at home now wanna do something xx,0
ham,K..k:)where are you?how did you performed?,42,14,1,K..k:)where are you?how did you performed?,performed,9,1,k k where are you how did you performed,0
ham,U can call me now...,20,6,1,U can call me now...,call,4,1,u can call me now,0
ham,I am waiting machan. Call me once you free.,43,11,2,I am waiting machan. Call me once you free.,waiting machan call free,24,4,i am waiting machan call me once you free,0
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,73,16,2,Thats cool. i am a gentleman and will treat you with dignity and respect.,thats cool gentleman treat dignity respect,42,6,thats cool i am a gentleman and will treat you with dignity and respect,0
ham,I like you peoples very much:) but am very shy pa.,50,14,1,I like you peoples very much:) but am very shy pa.,like people much shy pa,23,5,i like you peoples very much but am very shy pa,0
ham,Does not operate after  &lt;#&gt;  or what,42,13,1,Does not operate after  &lt;#&gt;  or what,operate lt gt,13,3,does not operate after lt gt or what,0
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,76,20,3,Its not the same here. Still looking for a job. How much do Ta's earn there.,still looking job much ta earn,30,6,its not the same here still looking for a job how much do ta s earn there,0
ham,"Sorry, I'll call later",22,6,1,"Sorry, I'll call later",sorry call later,16,3,sorry i ll call later,0
ham,K. Did you call me just now ah? ,32,9,1,K. Did you call me just now ah? ,call ah,7,2,k did you call me just now ah,0
ham,Ok i am on the way to home hi hi,32,10,1,Ok i am on the way to home hi hi,ok way home hi hi,17,5,ok i am on the way to home hi hi,0
ham,You will be in the place of that man,36,9,1,You will be in the place of that man,place man,9,2,you will be in the place of that man,0
ham,Yup next stop.,14,4,1,Yup next stop.,yup next stop,13,3,yup next stop,0
ham,"I call you later, don't have network. If urgnt, sms me.",55,16,2,"I call you later, don't have network. If urgnt, sms me.",call later network urgnt sm,27,5,i call you later don t have network if urgnt sms me,0
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,121,30,3,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,real getting yo need ticket one jacket done already used multis,63,11,for real when u getting on yo i only need more tickets and one more jacket and i m done i already used all my multis,0
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,144,36,3,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,yes started send request make pain came back back bed double coin factory got ta cash nitros,92,17,yes i started to send requests to make it but pain came back so i m back in bed double coins at the factory too i gotta cash in all my nitros,0
ham,I'm really not up to it still tonight babe,42,10,1,I'm really not up to it still tonight babe,really still tonight babe,25,4,i m really not up to it still tonight babe,0
ham,"Ela kano.,il download, come wen ur free..",41,11,1,"Ela kano.,il download, come wen ur free..",ela kano il download come wen ur free,37,8,ela kano il download come wen ur free,0
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,58,16,2,Yeah do! Don‘t stand to close tho- you‘ll catch something!,yeah stand close tho catch something,36,6,yeah do don t stand to close tho you ll catch something,0
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,195,44,4,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorry pain ok meet another night spent late afternoon casualty mean done stuff moro includes time sheet sorry,109,18,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i haven t done any of y stuff moro and that includes all my time sheets and that sorry,0
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,141,28,2,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile pleasure smile pain smile trouble pours like rain smile sum hurt smile becoz someone still love see smiling,113,19,smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts u smile becoz someone still loves to see u smiling,0
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,137,24,1,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call customer service representative pm guaranteed money cash money prize,80,11,please call our customer service representative on between am pm as you have won a guaranteed money cash or money prize,1
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,107,23,3,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent planning buy later check already lido got show afternoon finish work already,83,13,havent planning to buy later i check already lido only got show in e afternoon u finish work already,0
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",158,37,5,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",free ringtone waiting collected simply text password mix verify get usher britney fml po box mk ppw,99,17,your free ringtone is waiting to be collected simply text the password mix to to verify get usher and britney fml po box mk h ppw,1
ham,Watching telugu movie..wat abt u?,33,8,1,Watching telugu movie..wat abt u?,watching telugu movie wat abt,29,5,watching telugu movie wat abt u,0
ham,i see. When we finish we have loads of loans to pay,51,13,2,i see. When we finish we have loads of loans to pay,see finish load loan pay,24,5,i see when we finish we have loads of loans to pay,0
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",178,44,5,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",hi wk ok hols yes bit run forgot hairdresser appointment four need get home shower beforehand cause prob,104,18,hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u,0
ham,I see a cup of coffee animation,31,7,1,I see a cup of coffee animation,see cup coffee animation,24,4,i see a cup of coffee animation,0
ham,Please don't text me anymore. I have nothing else to say.,57,14,2,Please don't text me anymore. I have nothing else to say.,please text anymore nothing else say,36,6,please don t text me anymore i have nothing else to say,0
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,81,23,3,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name ur price long legal wen pick ave am xx,48,11,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx,0
