gru_message,label_encoded
i told her i had a dr appt next week she thinks i m gonna die i told her its just a check nothing to be worried about but she didn t listen,0
you have an important customer service announcement call freephone now,1
hey are you going to quit soon xuhui and i working till end of the month,0
me hungry buy some food good lei but mum n yun dun wan juz buy a little bit,0
ok i will tell her to stay out yeah its been tough but we are optimistic things will improve this month,0
is there a reason we ve not spoken this year anyways have a great week and all the best in your exam,0
pathaya enketa maraikara pa,0
enjoy the showers of possessiveness poured on u by ur loved ones bcoz in this world of lies it is a golden gift to be loved truly,0
well then you have a great weekend,0
aiyah ok wat as long as got improve can already wat,0
am surfing online store for offers do you want to buy any thing,0
i m home doc gave me pain meds says everything is fine,0
smith waste da i wanna gayle,0
ok c ya,0
nite,0
well its not like you actually called someone a punto that woulda been worse,0
take some small dose tablet for fever,0
i m nt goin got somethin on unless they meetin dinner lor haha i wonder who will go tis time,0
just send a text we ll skype later,0
lt gt is fast approaching so wish u a very happy new year happy sankranti happy republic day happy valentines day happy shivratri happy ugadi happy fools day happy may day happy independence day happy friendship mother father teachers childrens day amp happy birthday u happy ganesh festival happy dasara happy diwali happy christmas lt gt good mornings afternoons evenings nights rememberi am the first to wishing u all these your s raj,0
the xmas story is peace the xmas msg is love the xmas miracle is jesus hav a blessed month ahead amp wish u merry xmas,0
yes i will be there glad you made it,0
ok take ur time n enjoy ur dinner,0
i m doing da intro covers energy trends n pros n cons brief description of nuclear fusion n oso brief history of iter n jet got abt n half pages,0
just gettin a bit arty with my collages at the mo well tryin ne way got a roast in a min lovely i shall enjoy that,0
sorry i missed you babe i was up late and slept in i hope you enjoy your driving lesson boytoy i miss you too teasing kiss,0
i ll talk to the others and probably just come early tomorrow then,0
big brother s really scraped the barrel with this shower of social misfits,0
k k why cant you come here and search job,0
do thing change that sentence into because i want concentrate in my educational career im leaving here,0
they just talking thats it de they wont any other,0
haha just kidding papa needs drugs,0
sir send to group mail check it,0
did u find a sitter for kaitlyn i was sick and slept all day yesterday,0
really i tot ur paper ended long ago but wat u copied jus now got use u happy lar i still haf study,0
spending new years with my brother and his family lets plan to meet next week are you ready to be spoiled,0
guessin you ain t gonna be here before,0
lmao where s your fish memory when i need it,0
hi msg me i m in office,0
faith makes things possible hope makes things work love makes things beautiful may you have all three this christmas merry christmas,0
nvm i m going to wear my sport shoes anyway i m going to be late leh,0
hi did you asked to waheeda fathima about leave,0
that day say cut ur hair at paragon is it called hair sense do noe how much is a hair cut,0
jus came back fr lunch wif my sis only u leh,0
v nice off sheffield tom air my opinions on categories b used measure ethnicity in next census busy transcribing,0
have you got xmas radio times if not i will get it now,0
sac needs to carry on,0
dont think so it turns off like randomlly within min of opening,0
also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week i have a new bong gt,0
eh u remember how spell his name yes i did he v naughty make until i v wet,0
todays voda numbers ending are selected to receive a award if you hava a match please call quoting claim code standard rates app,1
raviyog peripherals bhayandar east,0
y bishan lei i tot say lavender,0
check with nuerologist,0
moby pub quiz win a money high street prize if u know who the new duchess of cornwall will be txt her first name to unsub stop money sp arrow,1
i jus hope its true that missin me cos i m really missin him you haven t done anything to feel guilty about yet,0
i need an th but i m off campus atm could i pick up in an hour or two,0
or remind me in a few hrs,0
so u gonna get deus ex,0
princess i like to make love lt gt times per night hope thats not a problem,0
sex up ur mobile with a free sexy pic of jordan just text babe to then every wk get a sexy celeb pocketbabe co uk more pics money wk,1
ill b down soon,0
sorry i ll call later in meeting,0
fantasy football is back on your tv go to sky gamestar on sky active and play money k dream team scoring starts on saturday so register now sky opt out to,1
my trip was ok but quite tiring lor uni starts today but it s ok me cos i m not taking any modules but jus concentrating on my final yr project,0
hi darlin ive just got back and i had a really nice night and thanks so much for the lift see u tomorrow xxx,0
aah a cuddle would be lush i d need lots of tea and soup before any kind of fumbling,0
i am going to film day da at pm sorry da,0
cashbin co uk get lots of cash this weekend url dear welcome to the weekend we have got our biggest and best ever cash give away these,1
there is no sense in my foot and penis,0
is ur lecture over,0
was it something u ate,0
can you please send me my aunty s number,0
yes fine,0
uncle abbey happy new year abiola,0
dear how you are you ok,0
yo im right by yo work,0
for many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections,0
that said can you text him one more time,0
are you unique enough find out from th august url,1
great p diddy is my neighbor and comes for toothpaste every morning,0
alright omw gotta change my order to a half th,0
you are a winner u have been specially selected receive money cash or a holiday flights inc speak to a live operator claim,1
when can come out,0
u having lunch alone i now so bored,0
what s your room number again wanna make sure i m knocking on the right door,0
in e msg jus now u said thanks for gift,0
we re all getting worried over here derek and taylor have already assumed the worst,0
dear me at cherthala in case u r coming cochin pls call bfore u start i shall also reach accordingly or tell me which day u r coming tmorow i am engaged ans its holiday,0
not a drop in the tank,0
when you just put in the sign choose my number and the pin will show right,0
dear shall mail tonite busy in the street shall update you tonite things are looking ok varunnathu edukkukayee raksha ollu but a good one in real sense,0
no to be nosy i guess idk am i over reacting if i m freaked,0
sorry brah just finished the last of my exams what up,0
life is nothing wen v get everything but life is everything wen v miss something real value of people wil be realized only in their absence gud mrng,0
he needs to stop going to bed and make with the fucking dealing,0
happy new year my dear brother i really do miss you just got your number and decided to send you this text wishing you only happiness abiola,0
thk of wat to eat tonight,0
probably earlier than that if the station s where i think it is,0
ahhhh just woken up had a bad dream about u tho so i dont like u right now i didnt know anything about comedy night but i guess im up for it,0
love it i want to flood that pretty pussy with cum,0
it to your free text messages are valid until december,1
ok thats cool its just off either raglan rd or edward rd behind the cricket ground gimme ring when ur closeby see you tuesday,0
fair enough anything going on,0
u were outbid by simonwatson on the shinco dvd plyr bid again visit sms ac smsrewards end bid notifications reply end out,1
no promises on when though haven t even gotten dinner yet,0
hmv bonus special pounds of genuine hmv vouchers to be won just answer easy questions play now send hmv to more info url,1
open rebtel with firefox when it loads just put plus sign in the user name place and it will show you two numbers the lower number is my number once you pick that number the pin will display okay,0
yo guess what i just dropped,0
i wud never mind if u dont miss me or if u dont need me but u wil really hurt me wen u need me amp u dont tell me take care,0
send me your resume,0
sorry dude dont know how i forgot even after dan reminded me sorry hope you guys had fun,0
rt king pro video club need help email or call you must be club credits redeemable at url enjoy,1
moji i love you more than words have a rich day,0
oh only outside players allowed to play know,0
r u sam p in eachother if we meet we can go my house,0
another month i need chocolate weed and alcohol,0
someone u know has asked our dating service contact you cant guess who call now all will be revealed po box m wu,1
oh gei that happend to me in tron maybe ill dl it in d when its out,0
hmmm i thought we said hours slave not you are late how should i punish you,0
i anything lor,0
ok i am a gentleman and will treat you with dignity and respect,0
received understood n acted upon,0
oh kay on sat right,0
i feel like a dick because i keep sleeping through your texts and facebook messages sup you in town,0
pls i wont belive god not only jesus,0
great new offer double mins double txt on best orange tariffs and get latest camera phones free call mobileupd free on now or stoptxt t cs,1
abeg make profit but its a start are you using it to get sponsors for the next event,0
daddy shu shu is looking u u wan me tell him u re not in singapore or wat,0
oops i was in the shower when u called hey a parking garage collapsed at university hospital see i m not crazy stuff like that does happen,0
sorry i ll call later,0
ryder unsold now gibbs,0
i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes,0
when did dad get back,0
lol for real she told my dad i have cancer,0
oooh i got plenty of those,0
sorry i flaked last night shit s seriously goin down with my roommate what you up to tonight,0
k will do addie amp i are doing some art so i ll be here when you get home,0
fine do you remember me,0
sitting in mu waiting for everyone to get out of my suite so i can take a shower,0
yup i shd haf ard pages if i add figures all got how many pages,0
excellent are you ready to moan and scream in ecstasy,0
i get out of class in bsn in like lt gt minutes you know where advising is,0
alright we re all set here text the man,0
you aren t coming home between class right i need to work out and shower,0
ok lor but not too early me still having project meeting now,0
hi did u decide wot get his bday if not ill prob jus get him a voucher frm virgin or sumfing,0
have a lovely night and when you wake up to see this message i hope you smile knowing all is as should be have a great morning,0
i m at home n ready,0
the oz guy is being kinda flaky but one friend is interested in picking up money lt gt worth tonight if possible,0
yupz i ve oredi booked slots my weekends liao,0
why must we sit around and wait for summer days to celebrate such a magical sight when the worlds dressed in white oooooh let there be snow,0
how will i creep on you now,0
get ready to put on your excellent sub face,0
sir you will receive the account no another hr time sorry for the delay,0
men like shorter ladies gaze up into his eyes,0
i love you you know can you feel it does it make your belly warm i wish it does my love i shall meet you in your dreams ahmad adoring kiss,0
no it s waiting in e car dat s bored wat cos wait outside got nothing do at home can do my stuff or watch tv wat,0
ditto and you won t have to worry about me saying anything to you anymore like i said last night you do whatever you want and i ll do the same peace,0
